M1.H_b.cs Time [a],H,CA,HCO3,CO3,CO2aq,Omega
156600.0,7.119219282414556e-09,0.00227381873705402,0.002005985269741333,0.00013391673365634356,1.6497769218702055e-05,3.056602604476177
156800.0,7.118926261122629e-09,0.002273802688225679,0.002005961385710323,0.00013392065125767782,1.649689376320945e-05,3.056692022356338
157000.0,7.118636017555236e-09,0.002273786389058562,0.002005937372465187,0.00013392450829668762,1.6496023698106587e-05,3.056780057922626
157200.0,7.118366682165406e-09,0.002273768805705114,0.00200591291983067,0.00013392794293722206,1.6495198485845866e-05,3.0568584523914604
157400.0,7.118120752879127e-09,0.0022737505224543018,0.0020058886263265847,0.00013393094806385853,1.6494428835000857e-05,3.0569270433558087
157600.0,7.117890497735837e-09,0.0022737317427991193,0.002005864414906851,0.0001339336639461341,1.6493696193305282e-05,3.056989032418791
157800.0,7.1176734790058464e-09,0.002273712471336057,0.0020058402087727097,0.00013393613128167376,1.649299427922135e-05,3.0570453484894617
158000.0,7.117468692315121e-09,0.0022736927247597287,0.0020058159893687182,0.00013393836769550523,1.6492320611770535e-05,3.057096393852915
158200.0,7.1173231528384055e-09,0.0022736700108507433,0.002005791119224461,0.0001339394458131412,1.649177888901317e-05,3.057121001510853
158400.0,7.117243382815979e-09,0.0022736459153337675,0.002005767213970304,0.00013393935068173172,1.649139750256796e-05,3.0571188301697068
158600.0,7.117208647301204e-09,0.0022736208321451857,0.0020057439327246284,0.00013393844971027868,1.6491125599516886e-05,3.057098265811432
158800.0,7.117212079322661e-09,0.0022735948063527787,0.002005721087231959,0.0001339368595604099,1.6490945717196693e-05,3.057061971196878
159000.0,7.117250880817308e-09,0.002273567884713019,0.002005698625790943,0.00013393462946103803,1.6490850944318562e-05,3.057011069958756
159200.0,7.1173179249045104e-09,0.002273540419991799,0.002005676622906311,0.000133931898542744,1.6490825377783562e-05,3.0569487377039124
159400.0,7.117411077519655e-09,0.002273512302631239,0.0020056549109942648,0.0001339286958184872,1.6490862693064635e-05,3.0568756366429954
159600.0,7.117531913961754e-09,0.002273483523398194,0.0020056335341125885,0.0001339249946428027,1.649096690043827e-05,3.0567911586025893
159800.0,7.1176801413736645e-09,0.0022734541398390347,0.0020056125331849636,0.00013392080332703558,1.649113765595997e-05,3.0566954932862385
160000.0,7.117857002272415e-09,0.002273424051886954,0.002005591861039697,0.0001339160954236284,1.6491377448741304e-05,3.056588037037694
160200.0,7.118075459726664e-09,0.002273392674698679,0.00200557143184743,0.0001339106214256244,1.6491715605016855e-05,3.056463094947941
160400.0,7.1183370669055405e-09,0.002273360499547794,0.002005551730264684,0.00013390438464155495,1.6492159705947147e-05,3.05632074253305
160600.0,7.118634149951714e-09,0.0022733277467757535,0.002005532695653187,0.0001338975255612833,1.6492691471529236e-05,3.056164186425011
160800.0,7.118963799301909e-09,0.0022732944700863773,0.0020055142785208144,0.00013389009578278145,1.6493303752174475e-05,3.0559946043294843
161000.0,7.119321405525328e-09,0.0022732610987857903,0.0020054967043420307,0.00013388219722187977,1.6493987721808443e-05,3.0558143224396526
161200.0,7.119589043598375e-09,0.0022732362403723883,0.0020054836540219006,0.00013387629317524385,1.649450044862496e-05,3.0556795646402977
161400.0,7.119787723095614e-09,0.002273212419076516,0.002005469230115735,0.0001338715944803905,1.649484210911826e-05,3.055572318573774
161600.0,7.119964191130789e-09,0.002273188722059232,0.002005454178536856,0.00013386727176118796,1.649512714203393e-05,3.0554736540199716
161800.0,7.120131463446957e-09,0.0022731653073532632,0.0020054390705946555,0.00013386311837930388,1.6495390401248273e-05,3.055378854531232
162000.0,7.120293238135244e-09,0.0022731422209635393,0.0020054240695950207,0.00013385907568425927,1.6495641797882252e-05,3.0552865814308876
162200.0,7.120504338302252e-09,0.002273116603374007,0.0020054084712613756,0.00013385406605631567,1.6496002547271597e-05,3.0551722384253366
